"","X","logFC","logCPM","PValue","FDR","gene.name"
"9256","KH2013:KH.C12.509",-0.318700611725139,1.91656180759631,0.664766510239797,1,"KH2013:KH.C12.509_SULT2A1/3/4/5/6"
"9257","KH2013:KH.C9.129",0.154839555099277,4.81303450346507,0.664893613037947,1,"BPHL"
"9258","KH2013:KH.L109.9",-0.232735001184009,3.61278101878167,0.66500294773512,1,"NLRC5"
"9259","KH2013:KH.C13.101",-0.574458382148167,-0.46049464572396,0.665182997927393,1,"KH2013:KH.C13.101"
"9260","KH2013:KH.C7.201",-0.123646982508656,5.4645754456071,0.66520305780765,1,"VPS41"
"9261","KH2013:KH.C9.219",-0.3527303129482,1.25284376705831,0.665249104383227,1,"KH2013:KH.C9.219"
"9262","KH2013:KH.C3.346",-0.712415844288624,-0.382439773855965,0.665348761497135,1,"KH2013:KH.C3.346"
"9263","KH2013:KH.C1.1226",-0.143921158667769,5.09374781518626,0.665390291774842,1,"KH2013:KH.C1.1226_FUCA/2"
"9264","KH2013:KH.C1.298",-0.190569896681288,4.31590523922493,0.665421948950068,1,"KH2013:KH.C1.298_BHMT/2"
"9265","KH2013:KH.C9.372",0.165776039755911,4.56556005550942,0.6655510528832,1,"DAP3"
"9266","KH2013:KH.C5.56",0.100011353031335,7.28366743702933,0.665591473982774,1,"CNN2/3"
"9267","KH2013:KH.C13.199",-0.600035837839641,0.937146865270543,0.665620549880809,1,"KH2013:KH.C13.199_THSD7A"
"9268","KH2013:KH.C7.786",-0.144001193431485,5.20540672957071,0.665637580244858,1,"KH2013:KH.C7.786_SCO1/2"
"9269","KH2013:KH.C7.149",0.102494150104703,7.18819630258724,0.665640211574907,1,"F49C12.1/12"
"9270","KH2013:KH.C2.382",0.170767693572704,4.73904785266325,0.665652564516575,1,"METTL19"
"9271","KH2013:KH.C3.409",0.134560951503873,5.29201908567431,0.665694038083007,1,"CEP112"
"9272","KH2013:KH.C7.412",-0.0979585160592232,6.90685894474993,0.665710059278585,1,"CDC42SE1/2"
"9273","KH2013:KH.C4.217",0.149882851360844,4.95656116454085,0.665738656420157,1,"FAM184A"
"9274","KH2013:KH.C7.232",-0.104545070263802,6.24427650075795,0.665795153847451,1,"CHMP4C"
